RW,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence
6,1.464999999999999858e+00,6.623215844474257707e+00,2.637000000000000011e+00,4,9.395019192778246264e+00,9.822082017394436093e+00,4.852000302758070802e+02,1.038026586514712427e-09,3.790625000000022737e+01,1.481892471677303869e+00
7,1.774474182270306066e+00,7.913169245133099494e+00,2.596015283616598612e+00,3,2.178845275745549426e+00,9.917400917394388671e+00,3.035000189379790640e+02,9.798725985535875607e-11,3.034999999997241503e+03,8.948463718680038426e+00
4,3.516000000000000014e+00,6.416900012708970813e+00,2.343999999999999861e+00,8,1.758000000000000007e+00,9.961999999999999744e+00,4.422000275926667427e+02,1.038737568747649616e-10,3.948214285714244198e+01,1.531843197559654979e-01
6,7.910999999999999588e+00,6.152999999999999581e+00,7.910999999999999588e+00,5,5.533277928433677495e+00,5.289245105241873190e+00,4.991000311431478167e+02,1.537220146973957025e-11,3.119374999999935767e+02,4.380875932161901742e-01
7,2.337380631707913992e+00,5.859999999999999432e+00,3.222999999999999865e+00,3,1.409482435022215485e+00,6.928542209941192631e+00,3.364000209908934949e+02,5.421057520803021797e-12,0.000000000000000000e+00,9.606038594810849318e+00
6,7.849391569255745438e+00,6.565923079025556497e+00,7.640597418228257887e+00,4,3.661337388656961345e+00,4.980999999999999872e+00,4.981000310807492610e+02,2.533123974306941228e-15,0.000000000000000000e+00,0.000000000000000000e+00
7,6.079035519338630067e+00,7.644252245155023218e+00,6.952645328567867544e+00,4,1.764028584750972239e+00,5.566999999999999282e+00,4.257000265630896365e+02,2.258222841808616923e-22,1.182500000000008242e+02,8.663392688310657196e-11
7,2.352041558353386019e+00,5.862696574379539172e+00,3.247870513692242334e+00,1,1.409482435022215485e+00,5.294547550925788215e+00,3.425000213715250084e+02,1.103260236739344635e-10,0.000000000000000000e+00,1.213446315991462687e-01
7,7.672781200951764191e+00,6.152999999999999581e+00,7.910999999999999588e+00,5,5.566999999999999282e+00,4.932488841268748203e+00,4.823000300948511381e+02,2.428483996020062543e-12,3.520437956204349916e+01,9.909587654822530345e-01
6,7.849391569255745438e+00,6.191123860175303584e+00,8.521438766668747888e+00,4,3.661337388656961345e+00,4.980999999999999872e+00,4.419000275739471135e+02,9.673777095197746353e-13,1.204087193460490823e+01,8.821426192838454083e-01
8,3.808999999999999719e+00,1.758000000000000007e+00,2.570959347437723697e+00,4,1.978518183457305124e+00,9.563303477687863818e+00,4.921000307063575292e+02,2.557458876140068431e-11,5.592045454545429095e+01,8.074607607313383228e-02
7,1.758509496163285224e+00,7.913169245133099494e+00,2.598116558562778344e+00,3,2.178845275745549426e+00,9.401406422155980991e+00,3.062000191064553292e+02,1.036494330351289141e-10,3.062000000000698037e+03,1.185961480470576568e+01
7,4.806630665709416661e+00,6.202273120967311648e+00,3.143432696695241280e+00,2,5.623175446659426591e+00,8.557563679254464262e+00,4.334000270435589641e+02,7.041020780818831528e-11,6.566666666666637298e+01,8.897562865676749144e-01
8,6.072130167471152085e+00,7.842747164091820267e+00,6.952645328567867544e+00,2,2.080946577006100640e+00,5.566999999999999282e+00,4.858000303132463387e+02,3.457523414660492332e-14,1.012083333333336554e+02,2.498822797522668587e-02
5,1.448534023636299128e+00,5.881082912986721034e+00,2.649525171222316455e+00,2,9.527945005101759790e+00,9.286889764740797304e+00,4.515000281729737708e+02,1.754515215993242695e-10,4.514999999995896360e+03,3.653070046305209484e+00
7,2.781931327500648976e+00,6.709407485238338076e+00,2.637000000000000011e+00,3,1.136420536034669304e+00,9.822082017394436093e+00,4.027000251279215490e+02,6.458111865723057060e-10,3.412711864406780649e+00,8.204325443808624385e-02
7,1.774803371186825407e+00,7.924027237120842670e+00,2.731052538637029237e+00,3,2.192930403867384470e+00,9.350912108602827288e+00,3.062000191064553292e+02,1.036494330351289141e-10,3.062000000000698037e+03,1.185961480470576568e+01
6,1.209109420536287782e+00,6.620519270094717967e+00,2.612129486307761983e+00,3,9.668999999999998707e+00,6.932789408642106466e+00,4.982000310869890995e+02,5.490246499542455032e-10,0.000000000000000000e+00,3.599508285877178526e+00
7,5.062848389238763680e+00,7.863508578380689507e+00,3.109205364003820637e+00,2,1.758000000000000007e+00,8.557563679254464262e+00,4.353000271621163506e+02,2.172879490906955513e-10,5.963013698630104642e+01,2.049159171265567403e-01
7,4.441004263483604220e+00,7.863508578380689507e+00,2.498745015868598873e+00,2,2.074313945985865715e+00,8.557563679254464262e+00,4.253000265381301688e+02,3.970513578798827867e-10,2.362777777777644985e+02,8.383351019891152611e-02
5,3.738968465424797216e+00,6.590399970346891401e+00,6.928537091169399531e+00,4,9.452480585938115354e+00,5.667008536301777255e+00,4.950000308873135282e+02,4.837240009953536624e-10,2.474999999999931504e+02,1.594932859131456215e+00
7,1.773964686107020849e+00,8.789999999999999147e+00,2.634898725053820279e+00,3,1.409595961435920586e+00,9.820185475616771242e+00,2.988000186447056308e+02,4.878272966235575421e-10,0.000000000000000000e+00,1.554670182837577102e+02
7,7.928998893094560962e+00,7.889129348894858396e+00,7.876772438190154269e+00,4,1.702451550186931506e+00,5.412486945615902378e+00,4.966000309871512854e+02,1.048053965760472224e-14,0.000000000000000000e+00,0.000000000000000000e+00
7,4.441004263483604220e+00,7.665013659443891569e+00,3.109205364003820637e+00,4,2.073709899716599026e+00,8.557563679254464262e+00,4.191000261512588168e+02,4.004900574454206350e-10,1.552222222222249570e+02,1.438191636284990305e-01
7,2.337380631707913992e+00,5.859999999999999432e+00,3.210880159052176275e+00,3,1.535062487810837872e+00,6.928542209941192631e+00,3.364000209908934949e+02,5.421057520803021797e-12,0.000000000000000000e+00,9.606038594810849318e+00
